id,name,type,city,locale,contact_name,email,phone,website,utm_content,angle,status,last_touch,next_action,notes
P001,Gran Ventana Beach Resort,hotel,puerto-plata,es,,info@vhhr.com,+1-809-320-2111,https://www.granventanahotel.com/,hotel-gran-ventana,Already list day-pass / Playa Dorada guests ask what's on tonight,ready,2026-09-09,Send batch-001 EN/ES pitch,VH Hotels group email — may route to reservations; ask for front desk / animation
P002,VH Atmosphere Resort & Beach Club,hotel,puerto-plata,en,,sales@vhhr.com,+1-809-320-1200,https://www.vhhr.com/,hotel-vh-atmosphere,Playa Dorada sales — lobby QR + weekend digest,ready,2026-09-09,Send batch-001,Same group as Gran Ventana — stagger or one VH group email
P003,Casa Colonial Beach & Spa,hotel,puerto-plata,en,,reservascc@vhhr.com,+1-809-320-3232,https://www.vhhr.com/,hotel-casa-colonial,Boutique spa guests want evening culture/nightlife outside resort,ready,2026-09-09,Send after P001/P002 reply,Avoid triple-emailing VH same week if one reply covers group
P004,Hotel Voramar Sosúa,hotel,sosua,en,,info@hotelvoramar-sosua.com,+1-809-571-3910,https://www.hotelvoramar-sosua.com/,hotel-voramar,Already on POP as venue — ask to print QR + share guest WhatsApp,ready,2026-09-09,Send batch-001,Warm: listed on site; German/EN guests
P005,Hotel Ocean Winds Costambar,hotel,puerto-plata,es,,reservas@oceanwinds.com,+1-849-591-5588,https://hoteloceanwinds.com/,hotel-ocean-winds,Already host karaoke listing — lobby QR for Costambar guests,ready,2026-09-09,Send batch-001,Warm venue relationship angle
P006,AMSP Concierge Puerto Plata,concierge,puerto-plata,es,,contactoamsp@gmail.com,+1-849-862-5067,https://amspdr.com/,concierge-amsp,Coordinates tours for villa/hotel guests — needs live evening calendar,ready,2026-09-09,Send batch-001,Strong ICP: multi-property concierge
P007,Puerto Plata Concierge (puertoplatadr.com),tour-op,puerto-plata,en,,editor@puertoplatadr.com,,https://puertoplatadr.com/concierge/,tour-pp-concierge,Shore excursions + cruise guests — free evening content,ready,2026-09-09,Send batch-001,Also publishes destination content — dual pitch
P008,Sosúa Concierge,concierge,sosua,en,,via WhatsApp 1-809-477-2038,+1-809-477-2038,https://www.sosuabeachdr.com/sosuaconcierge/,concierge-sosua,WhatsApp-first — send WA blurb not email,ready,2026-09-09,Draft WhatsApp; Stefan sends from phone,No public email — WhatsApp only
P009,Kite Buen Hombre / Cabarete,tour-op,cabarete,en,,kitebuen@gmail.com,+1-829-521-2367,https://www.kitebuenhombre.com/,tour-kite-buen,Kite guests ask for nightlife after sessions — share POP link,ready,2026-09-09,Send batch-001,Buen Hombre + Cabarete bridge
P010,MITUR Puerto Plata office,institution,puerto-plata,es,,kfouri@mitur.gob.do,+1-829-944-3852,https://www.mitur.gob.do/,institution-mitur-pp,Official calendar partner framing — not salesy,researching,2026-09-09,Hold until hotel batch lands,Week 3 institutional — don't cold-spam
P011,Pop Fashion Week (Nereyda Bravo),venue-event,puerto-plata,en,Nereyda Bravo,TBD,,,partner-popfw,Official calendar partner for Fashion Week listings + hotel digest,researching,2026-09-09,Find public contact; use Aug SEO draft,Prior draft exists in Google-rank chat
P012,El Colibrí Hotel,hotel,sosua,es,,TBD,,https://www.instagram.com/elcolibrihotel/,hotel-el-colibri,Already listed venue — warm ask for QR,researching,2026-09-09,Find email from site/IG,Instagram handle elcolibrihotel
